subject,modality,trial,signal,response,accuracy,confidence,rt,rt_conf,contrast,repeat_exclude
37,Calories,174,1,1,1,4,2.71383049999986,2.1204172000007,101,0
37,GDP,175,1,1,1,7,1.3157784999994,0.971965400000045,1.35,1
37,GDP,176,1,1,1,5,2.21373839999978,2.27028410000003,1.35,0
37,GDP,177,0,0,1,7,3.84019660000013,2.27042929999971,1.225,0
37,GDP,178,0,0,1,5,1.18579409999984,2.02037280000059,1.225,1
37,GDP,179,0,0,1,7,1.09389499999997,0.90401170000041,1.1,1
37,GDP,180,0,0,1,7,1.80104019999999,1.37179250000008,1.1,0
37,GDP,181,0,0,1,5,1.96953180000037,0.754673000000366,0.975,0
37,GDP,182,0,1,0,6,2.75092289999975,1.23788690000038,1.1,0
37,GDP,183,0,0,1,4,1.87514290000036,0.871182099999714,1.1,1
37,Calories,184,0,1,0,5,2.33056500000021,0.870955299999878,126,0
37,Calories,185,0,1,0,4,0.873772500000086,1.65356199999951,151,0
37,GDP,186,0,0,1,2,7.78461010000046,1.43704650000018,0.975,0
37,GDP,187,0,1,0,5,1.22909690000051,1.00440120000076,1.1,1
37,GDP,188,1,1,1,5,2.60309219999999,1.63787930000035,1.1,0
37,Calories,189,0,1,0,4,2.55228950000037,3.50507889999972,176,0
37,GDP,190,1,1,1,5,1.22718600000007,3.65525220000018,0.975,0
37,Calories,191,0,1,0,3,1.83750830000008,1.42187329999979,201,0
37,GDP,192,1,0,0,6,1.7674422,2.48847690000002,1.1,1
37,Calories,193,1,1,1,6,7.49337449999985,1.17125440000018,201,0
37,Calories,194,1,1,1,6,1.23495819999971,1.15424960000018,176,0
37,Calories,195,0,0,1,6,0.900622999999541,2.05428610000035,176,0
37,Calories,196,0,0,1,5,0.745082399999774,0.971925700000611,151,0
37,GDP,197,1,1,1,6,1.59444809999968,2.20458380000036,1.1,1
37,GDP,198,1,0,0,4,1.75528539999959,1.50487510000039,1.225,1
37,Calories,199,1,1,1,7,1.19456429999991,1.22149930000069,151,0
37,GDP,200,0,1,0,6,1.66578939999999,1.2216456999995,1.35,1
38,GDP,1,0,0,1,1,6.72537379999994,0.889287699999841,1,0
38,Calories,2,1,0,0,5,3.59906049999972,1.70400400000017,300,0
38,Calories,3,1,1,1,7,1.0858631000001,0.738500599999952,300,0
38,GDP,4,1,1,1,7,1.10979120000002,1.33852129999968,0.5,0
38,Calories,5,0,0,1,6,2.87054579999995,1.13727440000002,200,0
38,GDP,6,1,1,1,6,2.02278830000023,0.903883400000268,0.5,0
38,Calories,7,0,0,1,4,3.19716260000041,1.58746629999996,200,0
38,GDP,8,1,0,0,4,4.6049493999999,1.27164650000032,1,0
38,Calories,9,0,1,0,7,3.23015170000008,1.04049830000031,300,0
38,GDP,10,1,1,1,6,3.66184449999992,1.08840929999997,1,0
38,GDP,11,0,1,0,1,3.71317610000006,1.37143129999959,1.5,0
38,Calories,12,0,1,0,4,4.65709150000021,1.07154889999993,400,0
38,Calories,13,1,1,1,7,1.10353810000015,1.52106389999972,400,0
38,Calories,14,1,1,1,6,1.65694660000008,1.65591480000012,300,0
38,GDP,15,0,0,1,5,2.87636179999981,1.75371129999985,1.5,0
38,GDP,16,1,0,0,2,2.31532019999986,0.872029499999826,2,0
38,GDP,17,1,1,1,4,1.66559640000014,1.50683839999965,2,0
38,Calories,18,1,0,0,5,6.73166489999994,0.972640599999977,400,0
38,GDP,19,1,1,1,7,5.87482169999976,1.08923860000004,1.5,0
38,GDP,20,0,1,0,2,2.26409240000021,1.57210119999991,2,0
38,Calories,21,1,1,1,7,2.08693939999966,1.27117280000039,400,0
38,GDP,22,0,0,1,4,3.27158210000016,1.23939799999971,2,0
38,Calories,23,0,0,1,7,1.52695399999993,0.703679200000352,300,0
38,GDP,24,1,0,0,2,1.87370890000011,1.34131959999968,2.5,0
38,GDP,25,1,1,1,7,1.34028779999971,1.10422159999962,2.5,0
38,Calories,26,0,1,0,7,0.942951799999719,0.887250099999619,400,0
38,Calories,27,1,1,1,7,1.87398239999948,1.23759429999973,400,0
38,GDP,28,0,0,1,2,3.77447649999976,2.17118709999977,2,0
38,GDP,29,1,1,1,1,5.08132459999979,1.80456470000081,2,0
38,Calories,30,0,0,1,5,3.02326519999951,1.29131640000014,300,0
38,GDP,31,0,1,0,2,7.36949189999996,1.85415060000014,2.5,0
38,GDP,32,0,0,1,7,0.927978899999289,1.08854269999938,2.5,1
38,GDP,33,1,1,1,4,2.52937730000031,1.37127890000011,2,0
38,Calories,34,1,1,1,7,1.01806440000018,1.00582909999957,300,0
38,Calories,35,1,1,1,4,2.93395250000049,2.11801099999957,250,0
38,GDP,36,0,0,1,3,1.4410756999996,2.00635270000021,2,0
38,GDP,37,0,0,1,3,2.59528070000033,1.53830139999991,1.5,0
38,Calories,38,0,1,0,6,1.80063870000049,1.43927679999979,300,0
38,GDP,39,0,0,1,2,2.32098049999968,1.25519660000009,1.5,0
38,GDP,40,1,0,0,1,3.61774260000038,1.7705689000004,2,0
38,Calories,41,0,0,1,7,1.05391169999984,1.17068049999943,300,0
38,GDP,42,0,0,1,7,0.896747599999799,1.08781199999976,2,0
38,GDP,43,1,1,1,4,1.57462410000062,1.25478610000027,1.5,0
